spend_bin,cum_provider_share,cum_spend_share
1,0.0010004482007939556,2.452086986482842e-09
2,0.002000896401587911,3.4258597705549087e-08
3,0.003001344602381867,1.3980426828212734e-07
4,0.004001792803175822,3.296664211411101e-07
5,0.005002241003969779,5.974460900825716e-07
6,0.006002689204763734,9.480160623660507e-07
7,0.007003137405557689,1.3928285650532167e-06
8,0.008003585606351645,1.9188894987853e-06
9,0.009004033807145602,2.547337815055371e-06
10,0.010004482007939557,3.2658581521825197e-06
11,0.011004930208733513,4.081865621213869e-06
12,0.012005378409527468,4.995811406154933e-06
13,0.013005826610321423,5.992547494438014e-06
14,0.014006274811115379,7.095064653648376e-06
15,0.015006723011909336,8.2978152821878e-06
16,0.01600717121270329,9.60175275147663e-06
17,0.01700761941349725,1.100638664411757e-05
18,0.018008067614291204,1.2498926874389124e-05
19,0.01900851581508516,1.409047256882691e-05
20,0.020008964015879115,1.577647657732319e-05
21,0.02100941221667307,1.7552870397150002e-05
22,0.022009860417467025,1.9422325822287805e-05
23,0.02301030861826098,2.139872362674969e-05
24,0.024010756819054936,2.3475896321347254e-05
25,0.02501120501984889,2.564254861258596e-05
26,0.026011653220642847,2.788982552394022e-05
27,0.027012101421436802,3.0237426141424647e-05
28,0.028012549622230758,3.270058086772968e-05
29,0.029012997823024717,3.528389962638991e-05
30,0.030013446023818672,3.79928476288808e-05
31,0.031013894224612627,4.0823199438907255e-05
32,0.03201434242540658,4.376608830992614e-05
33,0.03301479062620054,4.681360086681469e-05
34,0.0340152388269945,4.9983556916121074e-05
35,0.03501568702778845,5.3273504370858795e-05
36,0.03601613522858241,5.6675855493056904e-05
37,0.03701658342937636,6.017976224988717e-05
38,0.03801703163017032,6.379743014953355e-05
39,0.03901747983096427,6.752533211007463e-05
40,0.04001792803175823,7.137061645549345e-05
41,0.04101837623255218,7.532518149038667e-05
42,0.04201882443334614,7.938533142924825e-05
43,0.04301927263414009,8.356628098141192e-05
44,0.04401972083493405,8.788053382883916e-05
45,0.04502016903572801,9.23154568193756e-05
46,0.04602061723652196,9.687893586476976e-05
47,0.04702106543731592,0.0001015739409327797
48,0.04802151363810987,0.00010639411621393641
49,0.04902196183890383,0.0001113330274319874
50,0.05002241003969778,0.00011641553286396682
51,0.05102285824049174,0.0001216170135565304
52,0.052023306441285694,0.00012694772511829037
53,0.05302375464207965,0.00013239551696781136
54,0.054024202842873605,0.00013796301381900367
55,0.05502465104366756,0.0001436633353180798
56,0.056025099244461515,0.00014950624665625468
57,0.057025547445255474,0.00015546678362633634
58,0.05802599564604943,0.0001615631583687908
59,0.059026443846843385,0.00016777298431026628
60,0.060026892047637344,0.00017411124860642412
61,0.061027340248431296,0.00018057701357920071
62,0.062027788449225255,0.00018716732495419473
63,0.0630282366500192,0.00019387262940050688
64,0.06402868485081316,0.00020069624606308204
65,0.06502913305160712,0.0002076355384579923
66,0.06602958125240108,0.00021469722726525026
67,0.06703002945319503,0.00022186910697667201
68,0.068030477653989,0.00022916394021460477
69,0.06903092585478295,0.0002365725542120495
70,0.0700313740555769,0.00024411202334111045
71,0.07103182225637085,0.0002517634096435737
72,0.07203227045716482,0.0002595509750489182
73,0.07303271865795877,0.00026745972847814353
74,0.07403316685875272,0.0002755210331046415
75,0.07503361505954667,0.00028372692062654086
76,0.07603406326034064,0.00029203975837444263
77,0.07703451146113459,0.00030047603221957444
78,0.07803495966192854,0.0003090358323987372
79,0.0790354078627225,0.00031770228855346406
80,0.08003585606351646,0.00032649867000842194
81,0.08103630426431041,0.0003353992161185656
82,0.08203675246510436,0.0003444229707722668
83,0.08303720066589833,0.0003535708363375367
84,0.08403764886669228,0.0003628454806850165
85,0.08503809706748623,0.00037225204731236914
86,0.08603854526828018,0.00038178691105419374
87,0.08703899346907415,0.00039143739167826573
88,0.0880394416698681,0.0004012234315176289
89,0.08903988987066205,0.0004111236326804043
90,0.09004033807145602,0.0004211624022596207
91,0.09104078627224997,0.0004313258045545164
92,0.09204123447304392,0.00044161801792131646
93,0.09304168267383787,0.00045205045927702994
94,0.09404213087463184,0.00046262771500515633
95,0.09504257907542579,0.0004733434057561915
96,0.09604302727621974,0.0004841971156561826
97,0.0970434754770137,0.0004951913634888823
98,0.09804392367780766,0.0005063286131112944
99,0.09904437187860161,0.0005176142512681109
100,0.10004482007939557,0.0005290296028648429
101,0.10104526828018952,0.0005405699481244587
102,0.10204571648098348,0.0005522390259891951
103,0.10304616468177744,0.0005640186910153525
104,0.10404661288257139,0.0005759341781205258
105,0.10504706108336535,0.0005879949935555444
106,0.1060475092841593,0.0006002074146630936
107,0.10704795748495326,0.0006125375947960818
108,0.10804840568574721,0.0006249999914593811
109,0.10904885388654117,0.0006376116005583122
110,0.11004930208733513,0.0006503474225756306
111,0.11104975028812908,0.0006632329709860134
112,0.11205019848892303,0.0006762560245879197
113,0.113050646689717,0.0006894234453015725
114,0.11405109489051095,0.0007027137724616662
115,0.1150515430913049,0.0007161406749818983
116,0.11605199129209887,0.0007296992996917049
117,0.11705243949289282,0.0007433928794225693
118,0.11805288769368677,0.0007572010559674948
119,0.11905333589448072,0.000771140558444738
120,0.12005378409527469,0.0007852083305730787
121,0.12105423229606864,0.0007994040270986695
122,0.12205468049686259,0.0008137517804807966
123,0.12305512869765654,0.0008282476203002114
124,0.12405557689845051,0.0008428843746928957
125,0.12505602509924446,0.0008576264511258234
126,0.1260564733000384,0.000872510042402915
127,0.12705692150083236,0.0008875494647888325
128,0.12805736970162632,0.0009027421445730746
129,0.1290578179024203,0.0009180875364114958
130,0.13005826610321425,0.0009335754317755539
131,0.1310587143040082,0.0009492049165272202
132,0.13205916250480215,0.000964949139333158
133,0.1330596107055961,0.0009808257238329565
134,0.13406005890639006,0.0009968561424619391
135,0.135060507107184,0.0010130303475484697
136,0.136060955307978,0.001029357872806752
137,0.13706140350877194,0.0010458437087242209
138,0.1380618517095659,0.0010624625419164973
139,0.13906229991035984,0.0010792108688416951
140,0.1400627481111538,0.0010961053676146616
141,0.14106319631194775,0.0011131377168329994
142,0.1420636445127417,0.0011303075320094691
143,0.14306409271353565,0.001147608688811613
144,0.14406454091432963,0.0011650892206809924
145,0.14506498911512358,0.0011827190120660734
146,0.14606543731591753,0.0012004916875406918
147,0.1470658855167115,0.001218411445077768
148,0.14806633371750544,0.001236471968101225
149,0.1490667819182994,0.0012546766071427214
150,0.15006723011909334,0.0012730390350392936
151,0.15106767831988732,0.0012915398116453126
152,0.15206812652068127,0.0013101842138519735
153,0.15306857472147523,0.0013289920623688056
154,0.15406902292226918,0.0013479452509855
155,0.15506947112306313,0.0013670454431978694
156,0.15606991932385708,0.001386268074979317
157,0.15707036752465103,0.0014056539098239067
158,0.158070815725445,0.001425198231877946
159,0.15907126392623896,0.0014448939320508437
160,0.16007171212703292,0.0014647270589484816
161,0.16107216032782687,0.0014847014025165055
162,0.16207260852862082,0.001504819516848721
163,0.16307305672941477,0.001525092006730927
164,0.16407350493020872,0.001545516392612763
165,0.16507395313100268,0.001566086867952245
166,0.16607440133179666,0.0015867758242115743
167,0.1670748495325906,0.0016076148011144064
168,0.16807529773338456,0.0016286067764751777
169,0.1690757459341785,0.001649747026593517
170,0.17007619413497246,0.0016710318399905618
171,0.17107664233576642,0.0016924655362627475
172,0.17207709053656037,0.0017140433838630249
173,0.17307753873735435,0.0017357805700373534
174,0.1740779869381483,0.0017576679298654126
175,0.17507843513894225,0.0017796982797131668
176,0.1760788833397362,0.0018018690890268464
177,0.17707933154053015,0.0018242079035708217
178,0.1780797797413241,0.0018467096269275006
179,0.17908022794211806,0.001869357977239293
180,0.18008067614291204,0.0018921660309956802
181,0.181081124343706,0.0019151304102016297
182,0.18208157254449994,0.0019382566036086517
183,0.1830820207452939,0.001961543583301882
184,0.18408246894608785,0.0019849899682659296
