provider_id,period,n_rows
1639138480,2024-02,23
1679525919,2022-08,22
1639138480,2024-08,21
1679525919,2021-03,20
1639138480,2019-10,19
1639138480,2024-04,19
1679525919,2019-10,19
1679525919,2021-06,19
1639138480,2023-10,18
1679525919,2021-08,18
1639138480,2022-08,17
1679525919,2022-10,17
1679525919,2021-10,17
1639138480,2022-05,16
1679525919,2024-07,16
1639138480,2022-11,16
1679525919,2022-03,16
1679525919,2020-02,16
1679525919,2022-04,16
1720220098,2022-06,16
