column_name,min_value,max_value,pct_negative,pct_zero,pct_failed_cast
TOTAL_PAID,-9151.2,38050342.16,0.0034,15.588799999999999,0.0
TOTAL_UNIQUE_BENEFICIARIES,12.0,52595.0,0.0,0.0,0.0
TOTAL_CLAIMS,12.0,347782.0,0.0,0.0,0.0
CLAIM_FROM_MONTH,,,0.0,0.0,100.0
